,n_samples,n_mfcc,hop_win,len_win,n_iter,n_hidden,accuracy,recall,precision,F1_score
17,20.0,13.0,0.01,0.04,50.0,12.0,"[0.9, 0.8, 1.0, 1.0, 1.0]","[0.9, 0.8, 1.0, 1.0, 1.0]","[0.95, 0.9333333333333332, 1.0, 1.0, 1.0]","[0.8666666666666666, 0.75, 1.0, 1.0, 1.0]"
18,20.0,13.0,0.03,0.025,15.0,4.0,"[0.75, 1.0, 0.7, 0.9, 1.0]","[0.75, 1.0, 0.7, 0.9, 1.0]","[0.9285714285714285, 1.0, 0.8515873015873016, 0.9333333333333332, 1.0]","[0.7244444444444444, 1.0, 0.600932400932401, 0.86, 1.0]"
19,20.0,13.0,0.03,0.025,15.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
20,20.0,13.0,0.03,0.025,15.0,12.0,"[0.8, 0.9, 0.7, 0.825, 0.875]","[0.8, 0.9, 0.7, 0.825, 0.875]","[0.9333333333333333, 0.937142857142857, 0.8808080808080808, 0.8942857142857144, 0.917142857142857]","[0.75, 0.8616161616161616, 0.6148717948717948, 0.7867243867243867, 0.8362193362193363]"
21,20.0,13.0,0.03,0.025,30.0,4.0,"[1.0, 0.975, 1.0, 1.0, 0.8]","[1.0, 0.975, 1.0, 1.0, 0.8]","[1.0, 0.9800000000000001, 1.0, 1.0, 0.8666666666666666]","[1.0, 0.9746031746031747, 1.0, 1.0, 0.72]"
22,20.0,13.0,0.03,0.025,30.0,6.0,"[1.0, 0.95, 0.9, 0.7, 0.8]","[1.0, 0.95, 0.9, 0.7, 0.8]","[1.0, 0.9666666666666666, 0.9333333333333332, 0.8833333333333332, 0.9333333333333332]","[1.0, 0.9466666666666667, 0.86, 0.6166666666666666, 0.7757142857142857]"
23,20.0,13.0,0.03,0.025,30.0,12.0,"[0.8, 0.8, 0.9, 0.875, 0.75]","[0.8, 0.8, 0.9, 0.875, 0.75]","[0.9, 0.9, 0.95, 0.9444444444444444, 0.8666666666666666]","[0.734920634920635, 0.7333333333333333, 0.8666666666666666, 0.8472527472527472, 0.6799999999999999]"
24,20.0,13.0,0.03,0.025,50.0,4.0,"[0.9, 0.775, 1.0, 1.0, 0.8]","[0.9, 0.775, 1.0, 1.0, 0.8]","[0.9333333333333332, 0.8777777777777777, 1.0, 1.0, 0.9]","[0.86, 0.7072527472527472, 1.0, 1.0, 0.7333333333333333]"
25,20.0,13.0,0.03,0.025,50.0,6.0,"[0.8, 0.9, 0.8, 0.975, 0.95]","[0.8, 0.9, 0.8, 0.975, 0.95]","[0.9163636363636364, 0.95, 0.9333333333333332, 0.9800000000000001, 0.9666666666666666]","[0.7422222222222222, 0.8666666666666666, 0.75, 0.9746031746031747, 0.9466666666666667]"
26,20.0,13.0,0.03,0.025,50.0,12.0,"[0.9, 0.775, 1.0, 0.8, 0.85]","[0.9, 0.775, 1.0, 0.8, 0.85]","[0.95, 0.9030303030303031, 1.0, 0.9, 0.9038095238095238]","[0.8666666666666666, 0.7190476190476189, 1.0, 0.7333333333333333, 0.8082828282828283]"
27,20.0,13.0,0.03,0.04,15.0,4.0,"[1.0, 0.925, 0.9, 1.0, 0.875]","[1.0, 0.925, 0.9, 1.0, 0.875]","[1.0, 0.9466666666666667, 0.95, 1.0, 0.93]","[1.0, 0.9212698412698412, 0.8666666666666666, 1.0, 0.8412698412698413]"
28,20.0,13.0,0.03,0.04,15.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
29,20.0,13.0,0.03,0.04,15.0,12.0,"[1.0, 0.875, 0.8, 0.9, 0.8]","[1.0, 0.875, 0.8, 0.9, 0.8]","[1.0, 0.93, 0.9333333333333332, 0.95, 0.9066666666666666]","[1.0, 0.8412698412698413, 0.75, 0.8666666666666666, 0.7371428571428572]"
30,20.0,13.0,0.03,0.04,30.0,4.0,"[1.0, 0.725, 1.0, 0.75, 1.0]","[1.0, 0.725, 1.0, 0.75, 1.0]","[1.0, 0.8183333333333334, 1.0, 0.8666666666666666, 1.0]","[1.0, 0.6461111111111111, 1.0, 0.6799999999999999, 1.0]"
31,20.0,13.0,0.03,0.04,30.0,6.0,"[0.9, 1.0, 0.925, 1.0, 0.9]","[0.9, 1.0, 0.925, 1.0, 0.9]","[0.95, 1.0, 0.9466666666666667, 1.0, 0.95]","[0.8666666666666666, 1.0, 0.9088888888888889, 1.0, 0.8666666666666666]"
32,20.0,13.0,0.03,0.04,30.0,12.0,"[0.9, 0.825, 0.9, 0.8, 0.9]","[0.9, 0.825, 0.9, 0.8, 0.9]","[0.95, 0.9363636363636363, 0.95, 0.9, 0.95]","[0.8666666666666666, 0.7933333333333333, 0.8666666666666666, 0.7333333333333333, 0.8666666666666666]"
33,20.0,13.0,0.03,0.04,50.0,4.0,"[0.975, 0.6, 1.0, 0.9, 1.0]","[0.975, 0.6, 1.0, 0.9, 1.0]","[0.9800000000000001, 0.7871428571428571, 1.0, 0.95, 1.0]","[0.9746031746031747, 0.4616161616161616, 1.0, 0.8666666666666666, 1.0]"
34,20.0,13.0,0.03,0.04,50.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
35,20.0,13.0,0.03,0.04,50.0,12.0,"[0.9, 0.925, 0.9, 0.975, 1.0]","[0.9, 0.925, 0.9, 0.975, 1.0]","[0.95, 0.9571428571428571, 0.9371428571428572, 0.9800000000000001, 1.0]","[0.8666666666666666, 0.9127272727272727, 0.8616161616161616, 0.9746031746031747, 1.0]"
36,20.0,13.0,0.05,0.025,15.0,4.0,"[0.8, 0.7, 0.75, 0.875, 0.7]","[0.8, 0.7, 0.75, 0.875, 0.7]","[0.8761904761904763, 0.843030303030303, 0.8238095238095238, 0.93, 0.8266666666666665]","[0.7545454545454545, 0.6444444444444445, 0.66987012987013, 0.8412698412698413, 0.591111111111111]"
37,20.0,13.0,0.05,0.025,15.0,6.0,"[1.0, 0.775, 0.9, 0.95, 0.9]","[1.0, 0.775, 0.9, 0.95, 0.9]","[1.0, 0.9307692307692307, 0.9371428571428572, 0.9666666666666666, 0.95]","[1.0, 0.7327731092436975, 0.8616161616161616, 0.9514285714285714, 0.8666666666666666]"
38,20.0,13.0,0.05,0.025,15.0,12.0,"[0.775, 0.675, 0.7, 0.975, 0.75]","[0.775, 0.675, 0.7, 0.975, 0.75]","[0.8800000000000001, 0.7416666666666667, 0.8, 0.9800000000000001, 0.8733333333333334]","[0.7079365079365079, 0.589920634920635, 0.6372727272727273, 0.9746031746031747, 0.6971428571428572]"
39,20.0,13.0,0.05,0.025,30.0,4.0,"[0.775, 0.8, 0.825, 0.925, 0.875]","[0.775, 0.8, 0.825, 0.925, 0.875]","[0.8944444444444445, 0.9, 0.8904761904761905, 0.9571428571428571, 0.93]","[0.7139194139194138, 0.734920634920635, 0.7727272727272727, 0.9127272727272727, 0.8412698412698413]"
40,20.0,13.0,0.05,0.025,30.0,6.0,"[0.9, 0.9, 0.975, 0.75, 0.8]","[0.9, 0.9, 0.975, 0.75, 0.8]","[0.9371428571428572, 0.9371428571428572, 0.9800000000000001, 0.86, 0.9]","[0.8616161616161616, 0.8997113997113996, 0.9746031746031747, 0.6896459096459097, 0.7333333333333333]"
41,20.0,13.0,0.05,0.025,30.0,12.0,"[0.7, 0.75, 0.875, 0.8, 0.675]","[0.7, 0.75, 0.875, 0.8, 0.675]","[0.8704761904761904, 0.8666666666666666, 0.93, 0.9, 0.8404761904761905]","[0.6116161616161617, 0.6815873015873016, 0.8412698412698413, 0.7333333333333333, 0.5855477855477855]"
42,20.0,13.0,0.05,0.025,50.0,4.0,"[0.875, 0.65, 1.0, 0.875, 0.6]","[0.875, 0.65, 1.0, 0.875, 0.6]","[0.93, 0.8268398268398268, 1.0, 0.917142857142857, 0.8204761904761904]","[0.8412698412698413, 0.5660606060606062, 1.0, 0.8362193362193363, 0.4782828282828283]"
43,20.0,13.0,0.05,0.025,50.0,6.0,"[0.95, 0.8, 0.925, 0.875, 0.875]","[0.95, 0.8, 0.925, 0.875, 0.875]","[0.96, 0.8671428571428571, 0.9571428571428571, 0.9133333333333333, 0.9444444444444444]","[0.9444444444444444, 0.7505050505050506, 0.925108225108225, 0.8346031746031745, 0.8472527472527472]"
44,20.0,13.0,0.05,0.025,50.0,12.0,"[0.875, 0.875, 0.7, 0.75, 0.85]","[0.875, 0.875, 0.7, 0.75, 0.85]","[0.93, 0.9444444444444444, 0.8663636363636364, 0.8550000000000001, 0.8883333333333333]","[0.8412698412698413, 0.8472527472527472, 0.6088888888888889, 0.682936507936508, 0.8096031746031747]"
45,20.0,13.0,0.05,0.04,15.0,4.0,"[0.9, 0.775, 0.825, 0.775, 0.7]","[0.9, 0.775, 0.825, 0.775, 0.7]","[0.9371428571428572, 0.8873015873015874, 0.9363636363636363, 0.89, 0.8238095238095238]","[0.8616161616161616, 0.7160839160839161, 0.7933333333333333, 0.7171428571428572, 0.6193939393939394]"
46,20.0,13.0,0.05,0.04,15.0,6.0,"[0.9, 0.8, 0.85, 0.7, 0.95]","[0.9, 0.8, 0.85, 0.7, 0.95]","[0.95, 0.8704761904761904, 0.8971428571428571, 0.925, 0.96]","[0.8666666666666666, 0.7216161616161616, 0.806060606060606, 0.64, 0.9492063492063492]"
47,20.0,13.0,0.05,0.04,15.0,12.0,"[0.775, 0.875, 0.925, 0.825, 0.9]","[0.775, 0.875, 0.925, 0.825, 0.9]","[0.861111111111111, 0.917142857142857, 0.9466666666666667, 0.8966666666666667, 0.9371428571428572]","[0.7315384615384616, 0.8362193362193363, 0.9212698412698413, 0.7879365079365079, 0.8616161616161616]"
48,20.0,13.0,0.05,0.04,30.0,4.0,"[0.9, 0.85, 0.85, 0.875, 0.975]","[0.9, 0.85, 0.85, 0.875, 0.975]","[0.9371428571428572, 0.8933333333333333, 0.9166666666666666, 0.93, 0.9800000000000001]","[0.8616161616161616, 0.8044444444444444, 0.8133333333333332, 0.8412698412698413, 0.9746031746031747]"
49,20.0,13.0,0.05,0.04,30.0,6.0,"[0.8, 1.0, 0.7, 0.8, 0.75]","[0.8, 1.0, 0.7, 0.8, 0.75]","[0.9, 1.0, 0.925, 0.9, 0.8733333333333334]","[0.7333333333333333, 1.0, 0.6657142857142857, 0.7333333333333333, 0.6971428571428572]"
50,20.0,13.0,0.05,0.04,30.0,12.0,"[0.6, 0.65, 0.625, 0.725, 0.75]","[0.6, 0.65, 0.625, 0.725, 0.75]","[0.7638095238095237, 0.833030303030303, 0.7442857142857143, 0.8366666666666667, 0.883030303030303]","[0.5037214247740563, 0.5555555555555556, 0.568023088023088, 0.6950793650793651, 0.6888888888888889]"
51,20.0,13.0,0.05,0.04,50.0,4.0,"[0.575, 0.95, 0.85, 1.0, 0.925]","[0.575, 0.95, 0.85, 1.0, 0.925]","[0.6342857142857142, 0.9666666666666666, 0.9194444444444445, 1.0, 0.9466666666666667]","[0.47720057720057724, 0.9466666666666667, 0.8222527472527472, 1.0, 0.9212698412698412]"
52,20.0,13.0,0.05,0.04,50.0,6.0,"[0.6, 0.775, 1.0, 0.9, 1.0]","[0.6, 0.775, 1.0, 0.9, 1.0]","[0.7515873015873016, 0.8666666666666666, 1.0, 0.937142857142857, 1.0]","[0.500932400932401, 0.7072727272727273, 1.0, 0.8616161616161616, 1.0]"
53,20.0,13.0,0.05,0.04,50.0,12.0,"[0.7, 0.75, 0.8, 0.7, 0.8]","[0.7, 0.75, 0.8, 0.7, 0.8]","[0.925, 0.8733333333333334, 0.8666666666666666, 0.8, 0.7838095238095237]","[0.64, 0.6971428571428572, 0.78, 0.63, 0.7305050505050505]"
54,100.0,13.0,0.01,0.025,15.0,4.0,"[0.8, 0.8, 0.8, 0.8, 0.8]","[0.8, 0.8, 0.8, 0.8, 0.8]","[0.9, 0.9333333333333332, 0.9333333333333332, 0.9333333333333332, 0.9333333333333332]","[0.7333333333333333, 0.75, 0.75, 0.75, 0.75]"
55,100.0,13.0,0.01,0.025,15.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
56,100.0,13.0,0.01,0.025,15.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
57,100.0,13.0,0.01,0.025,30.0,4.0,"[0.8, 0.8, 0.8, 0.8, 0.7]","[0.8, 0.8, 0.8, 0.8, 0.7]","[0.9, 0.9, 0.9333333333333332, 0.9333333333333332, 0.8833333333333333]","[0.7333333333333333, 0.7333333333333333, 0.75, 0.75, 0.6166666666666667]"
58,100.0,13.0,0.01,0.025,30.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
59,100.0,13.0,0.01,0.025,30.0,12.0,"[1.0, 1.0, 1.0, 0.995, 1.0]","[1.0, 1.0, 1.0, 0.995, 1.0]","[1.0, 1.0, 1.0, 0.9952380952380951, 1.0]","[1.0, 1.0, 1.0, 0.9949968730456535, 1.0]"
60,100.0,13.0,0.01,0.025,50.0,4.0,"[0.8, 0.8, 0.8, 0.8, 0.8]","[0.8, 0.8, 0.8, 0.8, 0.8]","[0.9, 0.9333333333333332, 0.9, 0.9333333333333332, 0.9333333333333332]","[0.7333333333333333, 0.75, 0.7333333333333333, 0.75, 0.75]"
61,100.0,13.0,0.01,0.025,50.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
62,100.0,13.0,0.01,0.025,50.0,12.0,"[0.97, 1.0, 1.0, 0.9, 0.9]","[0.97, 1.0, 1.0, 0.9, 0.9]","[0.9769230769230769, 1.0, 1.0, 0.95, 0.95]","[0.969309462915601, 1.0, 1.0, 0.8666666666666666, 0.8666666666666666]"
63,100.0,13.0,0.01,0.04,15.0,4.0,"[0.8, 0.9, 0.9, 0.8, 0.9]","[0.8, 0.9, 0.9, 0.8, 0.9]","[0.9, 0.95, 0.95, 0.9, 0.95]","[0.7333333333333333, 0.8666666666666666, 0.8666666666666666, 0.7333333333333333, 0.8666666666666666]"
64,100.0,13.0,0.01,0.04,15.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
65,100.0,13.0,0.01,0.04,15.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
66,100.0,13.0,0.01,0.04,30.0,4.0,"[0.8, 0.8, 0.9, 0.9, 0.8]","[0.8, 0.8, 0.9, 0.9, 0.8]","[0.9, 0.9, 0.95, 0.95, 0.9]","[0.7333333333333333, 0.7333333333333333, 0.8666666666666666, 0.8666666666666666, 0.7333333333333333]"
67,100.0,13.0,0.01,0.04,30.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
68,100.0,13.0,0.01,0.04,30.0,12.0,"[1.0, 1.0, 0.9, 0.9, 1.0]","[1.0, 1.0, 0.9, 0.9, 1.0]","[1.0, 1.0, 0.95, 0.95, 1.0]","[1.0, 1.0, 0.8666666666666666, 0.8666666666666666, 1.0]"
69,100.0,13.0,0.01,0.04,50.0,4.0,"[0.8, 0.9, 0.8, 0.9, 0.9]","[0.8, 0.9, 0.8, 0.9, 0.9]","[0.9333333333333332, 0.95, 0.9, 0.95, 0.95]","[0.75, 0.8666666666666666, 0.7333333333333333, 0.8666666666666666, 0.8666666666666666]"
70,100.0,13.0,0.01,0.04,50.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
71,100.0,13.0,0.01,0.04,50.0,12.0,"[0.9, 0.98, 1.0, 0.9, 1.0]","[0.9, 0.98, 1.0, 0.9, 1.0]","[0.95, 0.9833333333333334, 1.0, 0.95, 1.0]","[0.8666666666666666, 0.9797979797979798, 1.0, 0.8666666666666666, 1.0]"
72,100.0,13.0,0.03,0.025,15.0,4.0,"[0.85, 0.895, 0.87, 1.0, 1.0]","[0.85, 0.895, 0.87, 1.0, 1.0]","[0.9166666666666665, 0.948780487804878, 0.9363636363636363, 1.0, 1.0]","[0.8133333333333332, 0.8630096679277007, 0.840091036414566, 1.0, 1.0]"
73,100.0,13.0,0.03,0.025,15.0,6.0,"[1.0, 0.9, 0.8, 0.995, 0.71]","[1.0, 0.9, 0.8, 0.995, 0.71]","[1.0, 0.95, 0.929136400322841, 0.9952380952380951, 0.8024263915753278]","[1.0, 0.8666666666666666, 0.748193887002161, 0.9949968730456535, 0.648798897019408]"
74,100.0,13.0,0.03,0.025,15.0,12.0,"[0.86, 0.9, 0.795, 0.75, 0.9]","[0.86, 0.9, 0.795, 0.75, 0.9]","[0.9214285714285714, 0.9273506104090811, 0.8173776223776223, 0.8560714285714286, 0.95]","[0.825, 0.8579892422085114, 0.7444565217391305, 0.7174311054798861, 0.879585326953748]"
75,100.0,13.0,0.03,0.025,30.0,4.0,"[0.765, 0.9, 1.0, 0.995, 0.7]","[0.765, 0.9, 1.0, 0.995, 0.7]","[0.8611361756523047, 0.9465201465201466, 1.0, 0.9952380952380951, 0.8879120879120879]","[0.6985588899591457, 0.8653575857792477, 1.0, 0.9949968730456535, 0.6197860962566846]"
76,100.0,13.0,0.03,0.025,30.0,6.0,"[0.99, 0.99, 1.0, 0.945, 0.995]","[0.99, 0.99, 1.0, 0.945, 0.995]","[0.990909090909091, 0.9904761904761905, 1.0, 0.964516129032258, 0.9952380952380951]","[0.9899749373433585, 0.9898587933247753, 1.0, 0.9405003380662609, 0.9949968730456535]"
77,100.0,13.0,0.03,0.025,30.0,12.0,"[1.0, 0.8, 0.9, 0.795, 0.98]","[1.0, 0.8, 0.9, 0.795, 0.98]","[1.0, 0.8834816462736375, 0.9266666666666665, 0.8939560439560439, 0.9833333333333334]","[1.0, 0.7267306922769108, 0.8577777777777778, 0.7286344219374397, 0.9803827751196172]"
78,100.0,13.0,0.03,0.025,50.0,4.0,"[1.0, 0.9, 0.895, 0.895, 1.0]","[1.0, 0.9, 0.895, 0.895, 1.0]","[1.0, 0.9334816462736374, 0.9285714285714286, 0.92991822991823, 1.0]","[1.0, 0.860064025610244, 0.8549968730456535, 0.8555749541375844, 1.0]"
79,100.0,13.0,0.03,0.025,50.0,6.0,"[0.9, 0.88, 1.0, 0.8, 0.925]","[0.9, 0.88, 1.0, 0.8, 0.925]","[0.95, 0.9251221896383187, 1.0, 0.9031592520954222, 0.9571428571428572]","[0.8666666666666666, 0.86672358348274, 1.0, 0.7351731906505211, 0.9127272727272728]"
80,100.0,13.0,0.03,0.025,50.0,12.0,"[1.0, 0.75, 0.885, 0.76, 0.845]","[1.0, 0.75, 0.885, 0.76, 0.845]","[1.0, 0.9136363636363637, 0.9465116279069767, 0.8559314954051795, 0.8984447004608295]","[1.0, 0.7071575609213308, 0.8553839553839555, 0.6902435402435403, 0.8007567483226713]"
81,100.0,13.0,0.03,0.04,15.0,4.0,"[0.9, 1.0, 0.93, 0.905, 0.965]","[0.9, 1.0, 0.93, 0.905, 0.965]","[0.938888888888889, 1.0, 0.9514726507713885, 0.9512820512820512, 0.9740740740740741]","[0.8623376623376623, 1.0, 0.9176084745168193, 0.877320419693301, 0.9638942617666021]"
82,100.0,13.0,0.03,0.04,15.0,6.0,"[0.905, 1.0, 1.0, 1.0, 0.91]","[0.905, 1.0, 1.0, 1.0, 0.91]","[0.9449631449631449, 1.0, 1.0, 1.0, 0.9526315789473685]","[0.874937343358396, 1.0, 1.0, 1.0, 0.8871473354231975]"
83,100.0,13.0,0.03,0.04,15.0,12.0,"[0.905, 0.9, 0.9, 0.9, 0.9]","[0.905, 0.9, 0.9, 0.9, 0.9]","[0.9512820512820512, 0.95, 0.95, 0.9333333333333332, 0.95]","[0.8773204196933011, 0.8666666666666666, 0.8666666666666666, 0.86, 0.8666666666666667]"
84,100.0,13.0,0.03,0.04,30.0,4.0,"[0.9, 1.0, 0.71, 0.97, 0.9]","[0.9, 1.0, 0.71, 0.97, 0.9]","[0.95, 1.0, 0.8844827586206897, 0.9769230769230769, 0.9388888888888889]","[0.8666666666666666, 1.0, 0.636130536130536, 0.969309462915601, 0.8623376623376623]"
85,100.0,13.0,0.03,0.04,30.0,6.0,"[1.0, 1.0, 1.0, 1.0, 0.9]","[1.0, 1.0, 1.0, 1.0, 0.9]","[1.0, 1.0, 1.0, 1.0, 0.95]","[1.0, 1.0, 1.0, 1.0, 0.8666666666666666]"
86,100.0,13.0,0.03,0.04,30.0,12.0,"[0.9, 0.93, 1.0, 0.8, 1.0]","[0.9, 0.93, 1.0, 0.8, 1.0]","[0.9465201465201466, 0.9588235294117646, 1.0, 0.9, 1.0]","[0.8653575857792477, 0.9202279202279202, 1.0, 0.7333333333333333, 1.0]"
87,100.0,13.0,0.03,0.04,50.0,4.0,"[0.9, 0.9, 0.99, 1.0, 1.0]","[0.9, 0.9, 0.99, 1.0, 1.0]","[0.9334816462736374, 0.95, 0.990909090909091, 1.0, 1.0]","[0.860064025610244, 0.8666666666666666, 0.9899749373433585, 1.0, 1.0]"
88,100.0,13.0,0.03,0.04,50.0,6.0,"[0.9, 1.0, 1.0, 0.99, 0.99]","[0.9, 1.0, 1.0, 0.99, 0.99]","[0.95, 1.0, 1.0, 0.990909090909091, 0.990909090909091]","[0.8666666666666666, 1.0, 1.0, 0.9899749373433585, 0.9899749373433585]"
